Ticker symbol,Company,SEC filings,GICS?Sector,GICS Sub Industry,Address of Headquarters,Date first added
CELG,Celgene Corp.,reports,Health Care,Biotechnology,"Summit, New Jersey",
CNP,CenterPoint Energy,reports,Utilities,Multi-Utilities & Unregulated Power,"Houston, Texas",
CTL,CenturyLink Inc,reports,Telecommunications Services,Integrated Telecommunications Services,"Monroe, Louisiana",
CERN,Cerner,reports,Health Care,Health Care Distributors & Services,"North Kansas City, Missouri",
CF,CF Industries Holdings Inc,reports,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",
SCHW,Charles Schwab,reports,Financials,Diversified Financial Services,"San Francisco, California",
CHK,Chesapeake Energy,reports,Energy,Integrated Oil & Gas,"Oklahoma City, Oklahoma",
CVX,Chevron Corp.,reports,Energy,Integrated Oil & Gas,"San Ramon, California",
CMG,Chipotle Mexican Grill,reports,Consumer Discretionary,Restaurants,"Denver, Colorado",
CB,Chubb Corp.,reports,Financials,Property & Casualty Insurance,"Warren, New Jersey",
CI,CIGNA Corp.,reports,Health Care,Managed Health Care,"Philadelphia, Pennsylvania",
CINF,Cincinnati Financial,reports,Financials,Property & Casualty Insurance,"Fairfield, Ohio",
CTAS,Cintas Corporation,reports,Industrials,Diversified Commercial Services,"Mason, Ohio",
CSCO,Cisco Systems,reports,Information Technology,Networking Equipment,"San Jose, California",
C,Citigroup Inc.,reports,Financials,Banks,"New York, New York",
CTXS,Citrix Systems,reports,Information Technology,Internet Software & Services,"Fort Lauderdale, Florida",
CLF,Cliffs Natural Resources,reports,Materials,Diversified Metals & Mining,"Cleveland, Ohio",
CLX,The Clorox Company,reports,Consumer Staples,Household Products,"Oakland, California",
CME,CME Group Inc.,reports,Financials,Diversified Financial Services,"Chicago, Illinois",
CMS,CMS Energy,reports,Utilities,Multi-Utilities & Unregulated Power,"Jackson, Michigan",
COH,Coach Inc.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",
KO,The Coca Cola Company,reports,Consumer Staples,Soft Drinks,"Atlanta, Georgia",
CCE,Coca-Cola Enterprises,reports,Consumer Staples,Soft Drinks,"Atlanta, Georgia",
CTSH,Cognizant Technology Solutions,reports,Information Technology,IT Consulting & Services,"Teaneck, New Jersey",
CL,Colgate-Palmolive,reports,Consumer Staples,Household Products,"New York, New York",
CMCSA,Comcast Corp.,reports,Consumer Discretionary,Broadcasting & Cable TV,"Philadelphia, Pennsylvania",
CMA,Comerica Inc.,reports,Financials,Banks,"Dallas, Texas",
CSC,Computer Sciences Corp.,reports,Information Technology,IT Consulting & Services,"Falls Church, Virginia",
CAG,ConAgra Foods Inc.,reports,Consumer Staples,Packaged Foods & Meats,"Omaha, Nebraska",
COP,ConocoPhillips,reports,Energy,Integrated Oil & Gas,"Houston, Texas",
CNX,CONSOL Energy Inc.,reports,Energy,Oil & Gas Exploration & Production,"Cecil Township, Pennsylvania",
ED,Consolidated Edison,reports,Utilities,Multi-Utilities & Unregulated Power,"New York, New York",
STZ,Constellation Brands,reports,Consumer Staples,Distillers & Vintners,"Victor, New York",
GLW,Corning Inc.,reports,Industrials,Construction & Engineering,"Corning, New York",
COST,Costco Co.,reports,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",
COV,Covidien plc,reports,Health Care,Health Care Equipment & Services,"Dublin, Ireland",
CCI,Crown Castle International Corp.,reports,Telecommunications Services,Wireless Telecommunications Services,"Houston, Texas",
CSX,CSX Corp.,reports,Industrials,Railroads,"Jacksonville, Florida",
CMI,Cummins Inc.,reports,Industrials,Industrial Machinery,"Columbus, Indiana",
CVS,CVS Caremark Corp.,reports,Consumer Staples,Drug Retail,"Woonsocket, Rhode Island",
DHI,D. R. Horton,reports,Consumer Discretionary,Construction,"Fort Worth, Texas",
DHR,Danaher Corp.,reports,Industrials,Industrial Machinery,Washington D.C,
DRI,Darden Restaurants,reports,Consumer Discretionary,Restaurants,"Orlando, Florida",
DVA,DaVita Inc.,reports,Health Care,Health Care Facilities,"Denver, Colorado",
DE,Deere & Co.,reports,Industrials,Construction & Farm Machinery & Heavy Trucks,"Moline, Illinois",
DLPH,Delphi Automotive,reports,Consumer Discretionary,Auto Parts & Equipment,"Gillingham, Kent,?United Kingdom",2012/12/24
DAL,Delta Air Lines,reports,Industrials,Airlines,"Atlanta, Georgia",2013/9/10
DNR,Denbury Resources Inc.,reports,Energy,Oil & Gas Exploration & Production,"Plano, Texas",
XRAY,Dentsply International,reports,Health Care,Health Care Supplies,"York, Pennsylvania",
DVN,Devon Energy Corp.,reports,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",
DO,Diamond Offshore Drilling,reports,Energy,Oil & Gas Drilling,"Houston, Texas",
DTV,DirecTV,reports,Consumer Discretionary,Broadcasting & Cable TV,"El Segundo, California",
DFS,Discover Financial Services,reports,Financials,Consumer Finance,"Riverwoods, Illinois",
DISCA,Discovery Communications,reports,Consumer Discretionary,Broadcasting & Cable TV,"Silver Spring, Maryland",
DG,Dollar General,reports,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",2012/12/3
DLTR,Dollar Tree,reports,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",2011/12/16
D,Dominion Resources,reports,Utilities,Multi-Utilities & Unregulated Power,"Richmond, Virginia",
DOV,Dover Corp.,reports,Industrials,Industrial Machinery,"Downers Grove, Illinois",
DOW,Dow Chemical,reports,Materials,Diversified Chemicals,"Midland, Michigan",
DPS,Dr Pepper Snapple Group,reports,Consumer Staples,Soft Drinks,"Plano, Texas",
DTE,DTE Energy Co.,reports,Utilities,Multi-Utilities & Unregulated Power,"Detroit, Michigan",
DD,Du Pont (E.I.),reports,Materials,Diversified Chemicals,"Wilmington, Delaware",
DUK,Duke Energy,reports,Utilities,Electric Utilities,"Charlotte, North Carolina",
DNB,Dun & Bradstreet,reports,Industrials,Data Processing Services,"Short Hills, New Jersey",
ETFC,E-Trade,reports,Financials,Diversified Financial Services,"New York, New York",
EMN,Eastman Chemical,reports,Materials,Diversified Chemicals,"Kingsport, Tennessee",
ETN,Eaton Corp.,reports,Industrials,Industrial Conglomerates,"Cleveland, Ohio",
EBAY,eBay Inc.,reports,Information Technology,Internet Software & Services,"San Jose, California",
ECL,Ecolab Inc.,reports,Materials,Specialty Chemicals,"St. Paul, Minnesota",
EIX,Edison Int'l,reports,Utilities,Multi-Utilities & Unregulated Power,"Rosemead, California",
EW,Edwards Lifesciences,reports,Health Care,Health Care Equipment & Services,"Irvine, California",
EA,Electronic Arts,reports,Information Technology,Application Software,"Redwood City, California",
EMC,EMC Corp.,reports,Information Technology,IT Consulting & Services,"Hopkinton, Massachusetts",
EMR,Emerson Electric,reports,Industrials,Industrial Conglomerates,"Ferguson, Missouri",
ESV,Ensco plc,reports,Energy,Oil & Gas Drilling,"London, United Kingdom",2012/7/30
ETR,Entergy Corp.,reports,Utilities,Electric Utilities,"New Orleans, Louisiana",
EOG,EOG Resources,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",
EQT,EQT Corporation,reports,Energy,,"Pittsburgh, Pennsylvania",
EFX,Equifax Inc.,reports,Financials,Diversified Financial Services,"Atlanta, Georgia",
EQR,Equity Residential,reports,Financials,REITs,"Chicago, Illinois",
EL,Estee Lauder Cos.,reports,Consumer Staples,Personal Products,"New York, New York",
EXC,Exelon Corp.,reports,Utilities,Multi-Utilities & Unregulated Power,"Chicago, Illinois",
EXPE,Expedia Inc.,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bellevue, Washington",
EXPD,Expeditors Int'l,reports,Industrials,Air Freight & Logistics,"Seattle, Washington",
ESRX,Express Scripts,reports,Health Care,Health Care Distributors & Services,"Cool Valley, Missouri",
XOM,Exxon Mobil Corp.,reports,Energy,Integrated Oil & Gas,"Irving, Texas",
FFIV,F5 Networks,reports,Information Technology,Networking Equipment,"Seattle, Washington",
FB,Facebook,reports,Information Technology,Internet Software & Services,"Menlo Park, California",
FDO,Family Dollar Stores,reports,Consumer Discretionary,General Merchandise Stores,"Matthews, North Carolina",
FAST,Fastenal Co,reports,Industrials,Building Products,"Winona, Minnesota",
FDX,FedEx Corporation,reports,Industrials,Air Freight & Logistics,"Memphis, Tennessee",
FIS,Fidelity National Information Services,reports,Information Technology,Internet Software & Services,"Jacksonville, Florida",
FITB,Fifth Third Bancorp,reports,Financials,Banks,"Cincinnati, Ohio",
FSLR,First Solar Inc,reports,Industrials,Heavy Electrical Equipment,"Tempe, Arizona",
FE,FirstEnergy Corp,reports,Utilities,Multi-Utilities & Unregulated Power,"Akron, Ohio",
FISV,Fiserv Inc,reports,Information Technology,Internet Software & Services,"Brookfield, Wisconsin",
FLIR,FLIR Systems,reports,Industrials,Aerospace & Defense,"Wilsonville, Oregon",
FLS,Flowserve Corporation,reports,Industrials,Industrial Machinery,"Irving, Texas",
FLR,Fluor Corp.,reports,Industrials,Diversified Commercial Services,"Irving, Texas",
FMC,FMC Corporation,reports,Materials,Diversified Chemicals,"Philadelphia, Pennsylvania",
FTI,FMC Technologies Inc.,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",
F,Ford Motor,reports,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",
FRX,Forest Laboratories,reports,Health Care,Pharmaceuticals,"New York, New York",
FOSL,"Fossil, Inc.",reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Richardson, Texas",
BEN,Franklin Resources,reports,Financials,Diversified Financial Services,"San Mateo, California",
FCX,Freeport-McMoran Cp & Gld,reports,Materials,Diversified Metals & Mining,"Phoenix, Arizona",
FTR,Frontier Communications,reports,Telecommunications Services,Integrated Telecommunications Services,"Stamford, Connecticut",
GME,GameStop Corp.,reports,Consumer Discretionary,Specialty Stores,"Grapevine, Texas",
GCI,Gannett Co.,reports,Consumer Discretionary,Publishing,"McLean, Virginia",
GPS,Gap (The),reports,Consumer Discretionary,Apparel Retail,"San Francisco, California",
GRMN,Garmin Ltd.,reports,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",2012/12/12
GD,General Dynamics,reports,Industrials,Aerospace & Defense,"Falls Church, Virginia",
GE,General Electric,reports,Industrials,Industrial Conglomerates,"Fairfield, Connecticut",
GGP,General Growth Properties Inc.,reports,Financials,REITs,"Chicago, Illinois",2013/12/10
GIS,General Mills,reports,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",
GM,General Motors,reports,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",2013/6/6
GPC,Genuine Parts,reports,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",
GNW,Genworth Financial Inc.,reports,Financials,Life & Health Insurance,"Richmond, Virginia",
GILD,Gilead Sciences,reports,Health Care,Biotechnology,"Foster City, California",
GS,Goldman Sachs Group,reports,Financials,Diversified Financial Services,"New York, New York",
GT,Goodyear Tire & Rubber,reports,Consumer Discretionary,Tires & Rubber,"Akron, Ohio",
GOOG,Google Inc.,reports,Information Technology,Internet Software & Services,"Mountain View, California",
GWW,Grainger (W.W.) Inc.,reports,Industrials,Industrial Materials,"Lake Forest, Illinois",
HAL,Halliburton Co.,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",
HOG,Harley-Davidson,reports,Consumer Discretionary,Motorcycle Manufacturers,"Milwaukee, Wisconsin",
HAR,Harman Int'l Industries,reports,Consumer Discretionary,Consumer Electronics,"Stamford, Connecticut",
HRS,Harris Corporation,reports,Information Technology,Telecommunications Equipment,"Melbourne, Florida",
HIG,Hartford Financial Svc.Gp.,reports,Financials,Property & Casualty Insurance,"Hartford, Connecticut",
HAS,Hasbro Inc.,reports,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",
HCP,HCP Inc.,reports,Financials,REITs,"Long Beach, California",
HCN,"Health Care REIT, Inc.",reports,Financials,REITs,"Toledo, Ohio[3]",
HP,Helmerich & Payne,reports,Energy,Oil & Gas Drilling,"Tulsa, Oklahoma[4]",
HES,Hess Corporation,reports,Energy,Integrated Oil & Gas,"New York, New York",
HPQ,Hewlett-Packard,reports,Information Technology,Computer Hardware,"Palo Alto, California",
HD,Home Depot,reports,Consumer Discretionary,Home Improvement Retail,"Cobb County, Georgia",
HON,Honeywell Int'l Inc.,reports,Industrials,Industrial Conglomerates,"Morristown, New Jersey",
HRL,Hormel Foods Corp.,reports,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",
HSP,Hospira Inc.,reports,Health Care,Health Care Equipment & Services,"Lake Forest, Illinois",
HST,Host Hotels & Resorts,reports,Financials,REITs,"Bethesda, Maryland",
HCBK,Hudson City Bancorp,reports,Financials,Banks,"Paramus, New Jersey",
HUM,Humana Inc.,reports,Health Care,Managed Health Care,"Louisville, Kentucky",
HBAN,Huntington Bancshares,reports,Financials,Banks,"Columbus, Ohio",
ITW,Illinois Tool Works,reports,Industrials,Industrial Machinery,"Glenview, Illinois",
IR,Ingersoll-Rand PLC,reports,Industrials,Industrial Conglomerates,"Dublin, Ireland",
TEG,Integrys Energy Group Inc.,reports,Utilities,Gas Utilities,"Chicago, Illinois",
INTC,Intel Corp.,reports,Information Technology,Semiconductors,"Santa Clara, California",
ICE,IntercontinentalExchange Inc.,reports,Financials,Diversified Financial Services,"Atlanta, Georgia",
IBM,International Bus. Machines,reports,Information Technology,IT Consulting & Services,"Armonk, New York",
IGT,International Game Technology,reports,Consumer Discretionary,Leisure Products,"Reno, Nevada",
IP,International Paper,reports,Materials,Paper Products,"Memphis, Tennessee",
IPG,Interpublic Group,reports,Consumer Discretionary,Advertising,"New York, New York",
IFF,Intl Flavors & Fragrances,reports,Materials,Specialty Chemicals,"New York, New York",
INTU,Intuit Inc.,reports,Information Technology,Internet Software & Services,"Mountain View, California",2000/12/5
ISRG,Intuitive Surgical Inc.,reports,Health Care,Health Care Equipment & Services,"Sunnyvale, California",
IVZ,Invesco Ltd.,reports,Financials,Diversified Financial Services,"Atlanta, Georgia",
IRM,Iron Mountain Incorporated,reports,Industrials,Data Processing Services,"Boston, Massachusetts",
JBL,Jabil Circuit,reports,Information Technology,IT Consulting & Services,"St. Petersburg, Florida",
JEC,Jacobs Engineering Group,reports,Industrials,Industrial Conglomerates,"Pasadena, California",
JNJ,Johnson & Johnson,reports,Health Care,Health Care Equipment & Services,"New Brunswick, New Jersey",
JCI,Johnson Controls,reports,Consumer Discretionary,Auto Parts & Equipment,"Milwaukee, Wisconsin",
JOY,Joy Global Inc.,reports,Industrials,Industrial Machinery,"Milwaukee, Wisconsin",
JPM,JPMorgan Chase & Co.,reports,Financials,Banks,"New York, New York",
JNPR,Juniper Networks,reports,Information Technology,Networking Equipment,"Sunnyvale, California",
KSU,Kansas City Southern,reports,Industrials,Railroads,"Kansas City, Missouri",2013/5/24
K,Kellogg Co.,reports,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",
KEY,KeyCorp,reports,Financials,Banks,"Cleveland, Ohio",
KMB,Kimberly-Clark,reports,Consumer Staples,Household Products,"Irving, Texas",
KIM,Kimco Realty,reports,Financials,REITs,"New Hyde Park, New York",
KMI,Kinder Morgan,reports,Energy,Oil & Gas Refining & Marketing & Transportation,"Houston, Texas",2012/5/24
KLAC,KLA-Tencor Corp.,reports,Information Technology,Semiconductor Equipment,"Milpitas, California",
KSS,Kohl's Corp.,reports,Consumer Discretionary,General Merchandise Stores,"Menomonee Falls, Wisconsin",
KRFT,Kraft Foods Group,reports,Consumer Staples,Packaged Foods & Meats,"Northfield, Illinois",2012/10/2
KR,Kroger Co.,reports,Consumer Staples,Food Retail,"Cincinnati, Ohio",
LB,L Brands Inc.,reports,Consumer Discretionary,Apparel Retail,"Columbus, Ohio",
LLL,L-3 Communications Holdings,reports,Industrials,Industrial Conglomerates,"New York, New York",
LH,Laboratory Corp. of America Holding,reports,Health Care,Health Care Facilities,"Burlington, North Carolina",
LRCX,Lam Research,reports,Information Technology,Semiconductor Equipment,"Fremont, California",
LM,Legg Mason,reports,Financials,Diversified Financial Services,"Baltimore, Maryland",
LEG,Leggett & Platt,reports,Industrials,Industrial Conglomerates,"Carthage, Missouri",
LEN,Lennar Corp.,reports,Consumer Discretionary,Homebuilding,"Miami, Florida",
LUK,Leucadia National Corp.,reports,Financials,Multi-Sector Holdings,"New York, New York",
LIFE,Life Technologies,reports,Health Care,Biotechnology,"Carlsbad, California",
LLY,Lilly (Eli) & Co.,reports,Health Care,Pharmaceuticals,"Indianapolis, Indiana",
LNC,Lincoln National,reports,Financials,Multi-line Insurance,"Radnor, Pennsylvania",
LLTC,Linear Technology Corp.,reports,Information Technology,Semiconductors,"Milpitas, California",
LMT,Lockheed Martin Corp.,reports,Industrials,Aerospace & Defense,"Bethesda, Maryland",
L,Loews Corp.,reports,Financials,Multi-Sector Holdings,"New York, New York",
LO,Lorillard Inc.,reports,Consumer Staples,Tobacco,"Greensboro, North Carolina",
LOW,Lowe's Cos.,reports,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",
LSI,LSI Corporation,reports,Information Technology,Semiconductors,"Milpitas, California",
LYB,LyondellBasell,reports,Materials,Diversified Chemicals,"Rotterdam, Netherlands",2012/9/5
MTB,M&T Bank Corp.,reports,Financials,Banks,"Buffalo, New York",
MAC,Macerich,reports,Financials,Retail REITs,"Santa Monica, California",2013/5/9
M,Macy's Inc.,reports,Consumer Discretionary,Department Stores,"Cincinnati, Ohio",
MRO,Marathon Oil Corp.,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",
MPC,Marathon Petroleum,reports,Energy,Oil & Gas Refining & Marketing & Transportation,"Findlay, Ohio",
MAR,Marriott Int'l.,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",
MMC,Marsh & McLennan,reports,Financials,Insurance Brokers,"New York, New York",
MAS,Masco Corp.,reports,Industrials,Building Products,"Taylor, Michigan",
MA,Mastercard Inc.,reports,Information Technology,Internet Software & Services,"Harrison, New York",
MAT,Mattel Inc.,reports,Consumer Discretionary,Leisure Products,"El Segundo, California",
MKC,McCormick & Co.,reports,Consumer Staples,Packaged Foods & Meats,"Sparks, Maryland",
MCD,McDonald's Corp.,reports,Consumer Discretionary,Restaurants,"Oak Brook, Illinois",
MHFI,McGraw Hill Financial,reports,Financials,Diversified Financial Services,"New York, New York",
MCK,McKesson Corp.,reports,Health Care,Health Care Distributors & Services,"San Francisco, California",
MJN,Mead Johnson,reports,Consumer Staples,Packaged Foods & Meats,"Glenview, Illinois",
MWV,MeadWestvaco Corporation,reports,Materials,Paper Packaging,"Richmond, Virginia",
MDT,Medtronic Inc.,reports,Health Care,Health Care Equipment & Services,"Fridley, Minnesota",
MRK,Merck & Co.,reports,Health Care,Pharmaceuticals,"Whitehouse Station, New Jersey",
MET,MetLife Inc.,reports,Financials,Life & Health Insurance,"New York, New York",
MCHP,Microchip Technology,reports,Information Technology,Semiconductors,"Chandler, Arizona",
MU,Micron Technology,reports,Information Technology,Semiconductors,"Boise, Idaho",
MSFT,Microsoft Corp.,reports,Information Technology,Systems Software,"Redmond, Washington",
MHK,Mohawk Industries,reports,Consumer Discretionary,Home Furnishings,"Amsterdam, New York",
TAP,Molson Coors Brewing Company,reports,Consumer Staples,Brewers,"Denver, Colorado",
MDLZ,Mondelez International,reports,Consumer Staples,Packaged Foods & Meats,"Northfield, Illinois",2012/10/2
MON,Monsanto Co.,reports,Materials,Fertilizers & Agricultural Chemicals,"Creve Coeur, Missouri",
MNST,Monster Beverage,reports,Consumer Staples,Soft Drinks,"Corona, California",2012/6/28
MCO,Moody's Corp,reports,Financials,Diversified Financial Services,"New York, New York",
MS,Morgan Stanley,reports,Financials,Diversified Financial Services,"New York, New York",
